created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2025-05-27T09:32:49+07:00,1,34.4,50.3,402,0.0,,,,
2025-05-27T09:37:50+07:00,2,34.1,49.7,402,0.0,,,,
2025-05-27T09:42:51+07:00,3,32.5,52.5,402,0.0,,,,
2025-05-27T09:47:52+07:00,4,33.4,50.1,402,0.0,,,,
2025-05-27T09:52:53+07:00,5,32.9,52.3,402,0.0,,,,
2025-05-27T09:57:54+07:00,6,33.8,51.0,402,0.0,,,,
2025-05-27T10:02:54+07:00,7,35.1,47.6,402,0.0,,,,
2025-05-27T10:07:55+07:00,8,34.5,48.5,402,1.5,,,,
2025-05-27T10:12:56+07:00,9,33.0,52.7,402,0.0,,,,
2025-05-27T10:17:57+07:00,10,34.0,48.1,402,1.5,,,,
2025-05-27T10:22:58+07:00,11,34.1,48.4,402,0.0,,,,
2025-05-27T10:27:59+07:00,12,34.1,48.2,402,0.0,,,,
2025-05-27T10:33:00+07:00,13,32.7,48.9,402,0.0,,,,
2025-05-27T10:38:01+07:00,14,33.1,49.2,402,0.0,,,,
2025-05-27T10:43:02+07:00,15,33.9,47.4,402,0.0,,,,
2025-05-27T10:48:03+07:00,16,33.7,48.3,402,0.0,,,,
2025-05-27T10:53:04+07:00,17,34.8,46.3,402,0.0,,,,
2025-05-27T10:58:05+07:00,18,34.8,45.4,401,0.0,,,,
2025-05-27T11:03:06+07:00,19,34.5,45.7,402,1.7,,,,
2025-05-27T11:08:07+07:00,20,33.4,47.7,401,0.0,,,,
2025-05-27T11:20:06+07:00,21,34.8,45.7,402,0.0,,,,
2025-05-27T11:35:27+07:00,22,34.2,46.5,401.46,0.0,,,,
2025-05-27T11:42:15+07:00,23,33.5,48.0,401.46,0.0,,,,
2025-05-27T11:47:16+07:00,24,32.8,47.9,401.46,1.5,,,,
2025-05-27T11:52:17+07:00,25,33.0,48.5,401.44,0.0,,,,
2025-05-27T11:57:18+07:00,26,33.1,47.0,401.42,0.0,,,,
2025-05-27T12:02:19+07:00,27,32.5,47.9,401.40,0.0,,,,
2025-05-27T12:07:20+07:00,28,32.7,47.4,401.41,1.5,,,,
2025-05-27T12:12:21+07:00,29,33.1,47.9,401.45,0.0,,,,
2025-05-27T12:17:22+07:00,30,34.0,46.3,401.45,0.0,,,,
2025-05-27T12:22:23+07:00,31,34.0,45.9,401.46,0.0,,,,
2025-05-27T12:27:24+07:00,32,33.6,46.2,401.39,0.0,,,,
2025-05-27T12:36:12+07:00,33,32.7,48.2,401.33,0.0,,,,
2025-05-27T12:41:13+07:00,34,33.5,46.1,401.32,0.0,,,,
2025-05-27T12:46:14+07:00,35,33.8,45.3,401.27,1.5,,,,
2025-05-27T12:51:15+07:00,36,33.6,47.0,401.32,0.0,,,,
2025-05-27T12:56:16+07:00,37,34.1,45.8,401.30,0.0,,,,
2025-05-27T13:01:17+07:00,38,33.9,46.0,401.28,0.0,,,,
2025-05-27T13:06:18+07:00,39,34.9,44.5,401.35,0.0,,,,
2025-05-27T13:11:19+07:00,40,35.4,43.7,401.31,0.0,,,,
2025-05-27T13:16:20+07:00,41,35.6,42.7,401.32,0.0,,,,
2025-05-27T13:21:22+07:00,42,34.6,43.4,401.27,0.0,,,,
2025-05-27T13:26:22+07:00,43,34.5,43.9,401.25,0.0,,,,
2025-05-27T13:31:23+07:00,44,34.9,43.4,401.29,0.0,,,,
2025-05-27T13:36:24+07:00,45,36.0,40.3,401.25,0.0,,,,
2025-05-27T13:41:25+07:00,46,36.9,39.2,401.29,1.5,,,,
2025-05-27T13:46:26+07:00,47,38.6,35.0,401.24,0.0,,,,
2025-05-27T13:51:27+07:00,48,37.9,35.8,401.24,1.5,,,,
2025-05-27T13:56:28+07:00,49,37.9,36.7,401.25,0.0,,,,
2025-05-27T14:01:29+07:00,50,38.4,37.2,401.31,0.0,,,,
2025-05-27T14:06:30+07:00,51,38.1,36.8,401.29,0.0,,,,
2025-05-27T14:11:31+07:00,52,39.0,35.1,401.32,0.0,,,,
2025-05-27T14:16:32+07:00,53,38.7,34.8,401.28,1.7,,,,
2025-05-27T14:21:33+07:00,54,37.9,37.1,401.30,0.0,,,,
2025-05-27T14:26:34+07:00,55,37.5,36.6,401.22,0.0,,,,
2025-05-27T14:42:12+07:00,56,34.7,43.2,401.24,0.0,,,,
2025-05-27T14:47:13+07:00,57,34.5,44.2,401.27,0.0,,,,
2025-05-27T14:52:13+07:00,58,33.8,45.7,401.27,0.0,,,,
2025-05-27T14:57:14+07:00,59,34.4,45.0,401.29,0.0,,,,
2025-05-27T15:02:15+07:00,60,34.6,44.3,401.29,0.0,,,,
2025-05-27T15:07:16+07:00,61,34.4,45.1,401.29,0.0,,,,
2025-05-27T15:12:17+07:00,62,34.0,45.4,401.28,0.0,,,,
2025-05-27T15:17:18+07:00,63,34.3,45.1,401.30,0.0,,,,
2025-05-27T15:22:19+07:00,64,35.2,45.0,401.31,0.0,,,,
2025-05-27T15:27:20+07:00,65,34.9,44.3,401.35,0.0,,,,
2025-05-27T15:32:21+07:00,66,34.7,45.1,401.36,0.0,,,,
2025-05-27T15:37:22+07:00,67,34.0,46.9,401.35,0.0,,,,
2025-05-27T15:42:23+07:00,68,33.7,47.9,401.35,0.0,,,,
2025-05-27T15:47:24+07:00,69,34.0,47.0,401.37,0.0,,,,
2025-05-27T15:52:25+07:00,70,34.3,47.1,401.36,0.0,,,,
2025-05-27T15:57:26+07:00,71,34.2,47.2,401.37,0.0,,,,
2025-05-27T16:02:27+07:00,72,33.6,48.8,401.38,0.0,,,,
2025-05-27T16:07:28+07:00,73,33.6,49.4,401.37,0.0,,,,
2025-05-27T16:12:29+07:00,74,32.7,52.1,401.42,0.0,,,,
2025-05-27T16:17:30+07:00,75,32.7,52.6,401.42,0.0,,,,
2025-05-27T16:22:31+07:00,76,32.4,53.6,401.44,0.0,,,,
2025-05-27T16:27:32+07:00,77,32.1,54.4,401.42,0.0,,,,
2025-05-27T16:32:33+07:00,78,32.2,54.4,401.44,0.0,,,,
2025-05-27T16:37:33+07:00,79,32.0,54.8,401.40,0.0,,,,
2025-05-27T16:42:34+07:00,80,31.8,56.2,401.47,0.0,,,,
2025-05-27T16:47:35+07:00,81,31.8,57.0,401.48,0.0,,,,
2025-05-27T16:52:36+07:00,82,31.4,57.3,401.47,0.0,,,,
2025-05-27T16:57:37+07:00,83,30.8,58.8,401.50,0.0,,,,
2025-05-27T17:02:38+07:00,84,30.6,59.7,401.48,0.0,,,,
2025-05-27T17:07:41+07:00,85,30.6,60.2,401.50,0.0,,,,
2025-05-27T17:12:40+07:00,86,30.4,61.4,401.53,0.0,,,,
2025-05-27T17:17:41+07:00,87,30.0,62.9,401.56,0.0,,,,
2025-05-27T17:22:42+07:00,88,30.0,63.9,401.56,0.0,,,,
2025-05-27T17:27:43+07:00,89,29.8,64.1,401.53,0.0,,,,
2025-05-27T17:32:44+07:00,90,29.8,63.9,401.48,0.0,,,,
2025-05-27T17:37:45+07:00,91,29.5,64.2,401.58,0.0,,,,
2025-05-27T17:42:46+07:00,92,29.5,65.0,401.58,0.0,,,,
2025-05-27T17:47:47+07:00,93,29.5,65.5,401.63,0.0,,,,
2025-05-27T17:52:48+07:00,94,29.4,66.1,401.64,0.0,,,,
2025-05-27T17:57:49+07:00,95,29.3,67.0,401.69,0.0,,,,
2025-05-27T18:02:50+07:00,96,29.1,68.0,401.65,0.0,,,,
2025-05-27T18:07:51+07:00,97,29.1,67.8,401.61,0.0,,,,
2025-05-27T18:12:52+07:00,98,29.0,68.2,401.63,0.0,,,,
2025-05-27T18:17:53+07:00,99,29.0,68.9,401.73,0.0,,,,
2025-05-27T18:22:54+07:00,100,28.9,69.8,401.72,0.0,,,,
2025-05-27T18:27:55+07:00,101,28.6,71.0,401.70,0.0,,,,
2025-05-27T18:32:56+07:00,102,28.6,71.2,401.69,0.0,,,,
2025-05-27T18:37:57+07:00,103,28.7,70.5,401.64,0.0,,,,
2025-05-27T18:42:58+07:00,104,28.6,71.3,401.64,0.0,,,,
2025-05-27T18:47:59+07:00,105,28.6,71.2,401.66,0.0,,,,
2025-05-27T18:53:00+07:00,106,28.4,72.1,401.66,0.0,,,,
2025-05-27T18:58:01+07:00,107,28.4,72.5,401.66,0.0,,,,
2025-05-27T19:03:02+07:00,108,28.4,72.5,401.71,0.0,,,,
2025-05-27T19:08:03+07:00,109,28.3,72.2,401.63,0.0,,,,
2025-05-27T19:13:04+07:00,110,28.3,72.7,401.75,0.0,,,,
2025-05-27T19:18:05+07:00,111,28.3,72.6,401.69,0.0,,,,
2025-05-27T19:23:07+07:00,112,28.2,72.2,401.63,0.0,,,,
2025-05-27T19:28:07+07:00,113,28.2,72.8,401.71,0.0,,,,
2025-05-27T19:33:08+07:00,114,28.2,73.0,401.70,0.0,,,,
2025-05-27T19:38:09+07:00,115,28.1,73.1,401.70,0.0,,,,
2025-05-27T19:43:10+07:00,116,28.1,73.2,401.65,0.0,,,,
2025-05-27T19:48:11+07:00,117,28.0,73.4,401.74,0.0,,,,
2025-05-27T19:53:12+07:00,118,27.9,73.8,401.71,0.0,,,,
2025-05-27T19:58:13+07:00,119,27.9,74.0,401.71,0.0,,,,
2025-05-27T20:03:14+07:00,120,27.9,74.0,401.74,0.0,,,,
2025-05-27T20:08:14+07:00,121,27.9,74.5,401.74,0.0,,,,
2025-05-27T20:13:15+07:00,122,27.9,74.6,401.73,0.0,,,,
2025-05-27T20:18:16+07:00,123,27.7,74.6,401.75,0.0,,,,
2025-05-27T20:23:17+07:00,124,27.6,74.8,401.73,0.0,,,,
2025-05-27T20:28:18+07:00,125,27.5,74.9,401.77,0.0,,,,
2025-05-27T20:33:19+07:00,126,27.5,75.2,401.81,0.0,,,,
2025-05-27T20:38:20+07:00,127,27.5,75.1,401.77,0.0,,,,
2025-05-27T20:43:21+07:00,128,27.5,75.0,401.80,0.0,,,,
2025-05-27T20:48:24+07:00,129,27.5,74.6,401.78,0.0,,,,
2025-05-27T20:53:23+07:00,130,27.5,74.7,401.74,0.0,,,,
2025-05-27T20:58:24+07:00,131,27.5,74.8,401.74,0.0,,,,
2025-05-27T21:03:25+07:00,132,27.5,74.6,401.72,0.0,,,,
2025-05-27T21:08:26+07:00,133,27.5,74.6,401.73,0.0,,,,
2025-05-27T21:13:27+07:00,134,27.4,74.8,401.72,0.0,,,,
2025-05-27T21:18:28+07:00,135,27.4,75.2,401.71,0.0,,,,
2025-05-27T21:23:29+07:00,136,27.3,75.2,401.74,0.0,,,,
2025-05-27T21:28:30+07:00,137,27.3,75.6,401.75,0.0,,,,
2025-05-27T21:33:31+07:00,138,27.1,75.9,401.73,0.0,,,,
2025-05-27T21:38:32+07:00,139,27.1,76.2,401.79,0.0,,,,
2025-05-27T21:43:33+07:00,140,27.0,76.8,401.81,0.0,,,,
2025-05-27T21:48:34+07:00,141,26.9,76.9,401.75,0.0,,,,
2025-05-27T21:53:35+07:00,142,27.0,77.0,401.82,0.0,,,,
2025-05-27T21:58:36+07:00,143,26.9,77.1,401.79,0.0,,,,
2025-05-27T22:03:37+07:00,144,26.8,77.6,401.80,0.0,,,,
2025-05-27T22:08:38+07:00,145,26.7,78.2,401.83,0.0,,,,
2025-05-27T22:13:39+07:00,146,26.6,78.6,401.82,0.0,,,,
2025-05-27T22:18:40+07:00,147,26.7,78.3,401.87,0.0,,,,
2025-05-27T22:23:41+07:00,148,26.7,78.5,401.85,0.0,,,,
2025-05-27T22:28:42+07:00,149,26.5,79.4,401.90,0.0,,,,
2025-05-27T22:33:43+07:00,150,26.4,80.0,401.93,0.0,,,,
2025-05-27T22:38:44+07:00,151,26.2,81.8,401.99,0.0,,,,
2025-05-27T22:43:45+07:00,152,26.1,82.3,402.04,0.0,,,,
2025-05-27T22:48:46+07:00,153,26.1,82.5,402.04,0.0,,,,
2025-05-27T22:53:47+07:00,154,25.9,83.6,402.11,0.0,,,,
2025-05-27T22:58:48+07:00,155,25.9,83.8,402.10,0.0,,,,
2025-05-27T23:03:49+07:00,156,25.9,83.4,402.06,0.0,,,,
2025-05-27T23:08:50+07:00,157,25.8,83.2,401.96,0.0,,,,
2025-05-27T23:13:51+07:00,158,25.7,83.6,402.01,0.0,,,,
2025-05-27T23:18:52+07:00,159,25.7,83.6,401.97,0.0,,,,
2025-05-27T23:23:52+07:00,160,25.8,83.9,402.00,0.0,,,,
2025-05-27T23:28:53+07:00,161,25.8,83.3,402.03,0.0,,,,
2025-05-27T23:33:54+07:00,162,25.8,83.6,401.97,0.0,,,,
2025-05-27T23:38:55+07:00,163,25.8,83.5,401.95,0.0,,,,
2025-05-27T23:43:56+07:00,164,25.9,83.6,402.02,0.0,,,,
